sentence,gpt4_zeroshot_r1,gpt4_zeroshot_r2,gpt4_zeroshot_r3,answer
"actor, playhouse on park",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
"actor, shitfaced shakespeare",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
"actuarial analyst 1, humana",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuarial analyst ii, tower hill insurance group",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuarial analyst solvency ii, coface",Actuaries (15-2011.00),Actuaries (15-2011.00); Financial Risk Specialists (13-2054.00),Actuaries (15-2011.00); Financial Risk Specialists (13-2054.00),Actuaries (15-2011.00);Financial Risk Specialists (13-2054.00)
"actuarial analyst, berkshire hathaway specialty insurance",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuarial assistant, accident fund insurance company of america",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuarial assistant, brighthouse financial",Statistical Assistants (43-9111.00); Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuarial assistant, john hancock life insurance company (u.s.a.)",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00); Statistical Assistants (43-9111.00),Actuaries (15-2011.00)
"actuarial assistant, oneamerica financial partners, inc.",Statistical Assistants (43-9111.00); Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuarial assistant, trustmark life insurance company",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00); Statistical Assistants (43-9111.00),Actuaries (15-2011.00)
"actuarial assistant, william m mercer inc",Actuaries (15-2011.00),Actuaries (15-2011.00); Statistical Assistants (43-9111.00),Actuaries (15-2011.00); Statistical Assistants (43-9111.00),Actuaries (15-2011.00);Statistical Assistants (43-9111.00)
"actuarial associate, brighthouse financial",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuarial certification and experience, society of actuaries",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuarial consultant, buck consultants",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuary assistant, pryor personnel",Statistical Assistants (43-9111.00),Statistical Assistants (43-9111.00),Statistical Assistants (43-9111.00),Statistical Assistants (43-9111.00)
"actuary department, combined insurance a chubb company",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"actuary, aon hewitt",Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00),Actuaries (15-2011.00)
"acupuncturist, adrienne dooling acupuncture & herbal medicine",Acupuncturists (29-1291.00),Acupuncturists (29-1291.00),Acupuncturists (29-1291.00),Acupuncturists (29-1291.00)
"acupuncturist, dae won rehabilitation",Acupuncturists (29-1291.00),Acupuncturists (29-1291.00),Acupuncturists (29-1291.00),Acupuncturists (29-1291.00)
"acupuncturist, integrated neurology health services",Acupuncturists (29-1291.00),Acupuncturists (29-1291.00),Acupuncturists (29-1291.00),Acupuncturists (29-1291.00)
"acupuncturist, lohas acupuncture and herbs llc",Acupuncturists (29-1291.00),Acupuncturists (29-1291.00),Acupuncturists (29-1291.00),Acupuncturists (29-1291.00)
"adaptive discovery practice - principal, adaptive insights","Managers, All Other (11-9199.00)","Managers, All Other (11-9199.00)","Managers, All Other (11-9199.00)","Managers, All Other (11-9199.00)"
"addictions therapist, centerstone indiana",Substance Abuse and Behavioral Disorder Counselors (21-1011.00),Substance Abuse and Behavioral Disorder Counselors (21-1011.00); Mental Health Counselors (21-1014.00),Substance Abuse and Behavioral Disorder Counselors (21-1011.00),Substance Abuse and Behavioral Disorder Counselors (21-1011.00)
"additional work history available upon request, multiple",None (00-0000.00),None (00-0000.00),None (00-0000.00),None (00-0000.00)
"adjunct assistant professor of marketing, millikin university","Business Teachers, Postsecondary (25-1011.00)","Business Teachers, Postsecondary (25-1011.00)","Business Teachers, Postsecondary (25-1011.00)","Business Teachers, Postsecondary (25-1011.00)"
"adjunct associate professor of law, southwestern law school","Law Teachers, Postsecondary (25-1112.00)","Law Teachers, Postsecondary (25-1112.00)","Law Teachers, Postsecondary (25-1112.00)","Law Teachers, Postsecondary (25-1112.00)"
"adjunct faculty - exercise science, north hennepin community college","Recreation and Fitness Studies Teachers, Postsecondary (25-1193.00)","Recreation and Fitness Studies Teachers, Postsecondary (25-1193.00)","Recreation and Fitness Studies Teachers, Postsecondary (25-1193.00)","Recreation and Fitness Studies Teachers, Postsecondary (25-1193.00)"
"adjunct faculty in social sciences, ferris state university","Social Sciences Teachers, Postsecondary, All Other (25-1069.00)","Social Sciences Teachers, Postsecondary, All Other (25-1069.00)","Social Sciences Teachers, Postsecondary, All Other (25-1069.00)","Social Sciences Teachers, Postsecondary, All Other (25-1069.00)"
"adjunct faculty lecturer and field instructor, california state university, chico","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)"
"adjunct faculty professor, miami dade college","Teachers and Instructors, All Other (25-3099.00); Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)"
"adjunct faculty, pearl school of business","Business Teachers, Postsecondary (25-1011.00)","Business Teachers, Postsecondary (25-1011.00)","Business Teachers, Postsecondary (25-1011.00)","Business Teachers, Postsecondary (25-1011.00)"
"adjunct faculty; faculty field liasion, university of maryland school of social work","Social Work Teachers, Postsecondary (25-1113.00)","Social Work Teachers, Postsecondary (25-1113.00)","Social Work Teachers, Postsecondary (25-1113.00)","Social Work Teachers, Postsecondary (25-1113.00)"
"adjunct history faculty, community college of rhode island","History Teachers, Postsecondary (25-1125.00)","History Teachers, Postsecondary (25-1125.00)","History Teachers, Postsecondary (25-1125.00)","History Teachers, Postsecondary (25-1125.00)"
"adjunct instructor - guitar, bethel university","Art, Drama, and Music Teachers, Postsecondary (25-1121.00)","Art, Drama, and Music Teachers, Postsecondary (25-1121.00)","Art, Drama, and Music Teachers, Postsecondary (25-1121.00)","Art, Drama, and Music Teachers, Postsecondary (25-1121.00)"
"adjunct instructor, adjunct instructor -law enforcement, saint johns river state college, st johns river state college, st. johns river state college","Criminal Justice and Law Enforcement Teachers, Postsecondary (25-1111.00)","Criminal Justice and Law Enforcement Teachers, Postsecondary (25-1111.00)","Criminal Justice and Law Enforcement Teachers, Postsecondary (25-1111.00)","Criminal Justice and Law Enforcement Teachers, Postsecondary (25-1111.00)"
"adjunct instructor, ball state university","Teachers and Instructors, All Other (25-3099.00); Postsecondary Teachers, All Other (25-1199.00)","Education Teachers, Postsecondary (25-1081.00)","Teachers and Instructors, All Other (25-3099.00); Postsecondary Teachers, All Other (25-1199.00)","Teachers and Instructors, All Other (25-3099.00);Postsecondary Teachers, All Other (25-1199.00)"
"adjunct instructor, bloomfield college","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00); Teachers and Instructors, All Other (25-3099.00)","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)"
"adjunct instructor, ellsworth community college","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00); Teachers and Instructors, All Other (25-3099.00)","Postsecondary Teachers, All Other (25-1199.00); Teachers and Instructors, All Other (25-3099.00)","Postsecondary Teachers, All Other (25-1199.00);Teachers and Instructors, All Other (25-3099.00)"
"adjunct instructor, fox valley technical college","Career/Technical Education Teachers, Postsecondary (25-1194.00)","Education Teachers, Postsecondary (25-1081.00); Teachers and Instructors, All Other (25-3099.00)","Teachers and Instructors, All Other (25-3099.00); Postsecondary Teachers, All Other (25-1199.00)","Teachers and Instructors, All Other (25-3099.00)"
"adjunct instructor, maryville university of saint louis","Teachers and Instructors, All Other (25-3099.00); Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00); Teachers and Instructors, All Other (25-3099.00)","Teachers and Instructors, All Other (25-3099.00); Postsecondary Teachers, All Other (25-1199.00)","Teachers and Instructors, All Other (25-3099.00);Postsecondary Teachers, All Other (25-1199.00)"
"adjunct instructor, palomar college","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00); Teachers and Instructors, All Other (25-3099.00)","Teachers and Instructors, All Other (25-3099.00); Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00);Teachers and Instructors, All Other (25-3099.00)"
"adjunct journalism professor, adjunct professor, west virginia northern community college","Communications Teachers, Postsecondary (25-1122.00)","Communications Teachers, Postsecondary (25-1122.00)","Communications Teachers, Postsecondary (25-1122.00)","Communications Teachers, Postsecondary (25-1122.00)"
"adjunct lecturer of psychology, dowling college","Psychology Teachers, Postsecondary (25-1066.00)","Psychology Teachers, Postsecondary (25-1066.00)","Psychology Teachers, Postsecondary (25-1066.00)","Psychology Teachers, Postsecondary (25-1066.00)"
"adjunct lecurer, niagara university","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)","Postsecondary Teachers, All Other (25-1199.00)"
"adjunct librarian, new york city college of technology","Librarians and Media Collections Specialists (25-4022.00); Library Science Teachers, Postsecondary (25-1082.00)",Librarians and Media Collections Specialists (25-4022.00),"Librarians and Media Collections Specialists (25-4022.00); Library Science Teachers, Postsecondary (25-1082.00)","Librarians and Media Collections Specialists (25-4022.00);Library Science Teachers, Postsecondary (25-1082.00)"
"adjunct librarian, new york theological seminary","Library Science Teachers, Postsecondary (25-1082.00); Librarians and Media Collections Specialists (25-4022.00)",Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00)
